,Unnamed: 0,Ingredient,Similar Ingredient,Word2Vec Value
1322,1322,맛술,다진마늘,0.9660525321960448
1003,1003,밤,후춧가루,0.9659856557846068
702,702,김치,설탕,0.9659825563430786
574,574,다진생강,설탕,0.965961217880249
901,901,토마토케첩,설탕,0.9659221172332764
1210,1210,쑥갓,소금,0.9658623337745668
1323,1323,맛술,설탕,0.9658259153366088
902,902,토마토케첩,참기름,0.9658104181289672
314,314,쇠고기,참기름,0.9657350778579712
903,903,토마토케첩,후춧가루,0.9656529426574708
613,613,깻잎,후춧가루,0.965642273426056
1221,1221,팽이버섯,후춧가루,0.965624213218689
1531,1531,굴소스,다진마늘,0.9655947089195251
614,614,깻잎,대파,0.9655925631523132
904,904,토마토케첩,다진마늘,0.965493381023407
1211,1211,쑥갓,다진마늘,0.9653722047805786
1324,1324,맛술,후춧가루,0.965296745300293
703,703,김치,홍고추,0.9652754068374634
704,704,김치,다진마늘,0.965250849723816
1222,1222,팽이버섯,다진마늘,0.9652429819107056
864,864,느타리버섯,대파,0.9651127457618712
1212,1212,쑥갓,참기름,0.9650447964668274
1532,1532,굴소스,설탕,0.9650031924247742
1223,1223,팽이버섯,대파,0.9648950099945068
261,261,호박,참기름,0.9647950530052184
483,483,멸치,청고추,0.964722216129303
940,940,토마토,소금,0.9646174311637878
484,484,멸치,설탕,0.9645715951919556
881,881,생강즙,다진마늘,0.9643500447273254
1224,1224,팽이버섯,설탕,0.9642334580421448
1050,1050,버터,소금,0.9642252326011658
262,262,호박,홍고추,0.964183270931244
263,263,호박,후춧가루,0.9639960527420044
1004,1004,밤,참기름,0.9639859199523926
410,410,감자,소금,0.9638218879699708
264,264,호박,설탕,0.963805615901947
910,910,생강,소금,0.9637787342071532
1213,1213,쑥갓,후춧가루,0.9637283086776732
941,941,토마토,다진마늘,0.963692307472229
691,691,육수,설탕,0.963429033756256
250,250,진간장,소금,0.9634156227111816
692,692,육수,후춧가루,0.9631155133247375
1533,1533,굴소스,참기름,0.9630002975463868
693,693,육수,참기름,0.9629878401756288
882,882,생강즙,참기름,0.9629405736923218
200,200,돼지고기,소금,0.9629263877868652
1534,1534,굴소스,청고추,0.9629131555557252
380,380,대추,소금,0.9628785252571106
411,411,감자,청고추,0.962814450263977
1051,1051,버터,참기름,0.9628125429153442
412,412,감자,참기름,0.962653636932373
694,694,육수,다진마늘,0.9626365900039672
1250,1250,김,소금,0.9626123309135436
883,883,생강즙,설탕,0.9624346494674684
413,413,감자,설탕,0.9622398018836976
520,520,애호박,소금,0.962139368057251
942,942,토마토,고추장,0.962120532989502
1052,1052,버터,설탕,0.9620640873908995
414,414,감자,다진마늘,0.961945652961731
911,911,생강,다진마늘,0.9618748426437378
201,201,돼지고기,홍고추,0.9618631601333618
1261,1261,후추,다진마늘,0.961771547794342
1214,1214,쑥갓,청고추,0.9617354273796082
381,381,대추,설탕,0.961597740650177
1450,1450,머스터드,다진마늘,0.9613783359527588
884,884,생강즙,후춧가루,0.961347222328186
521,521,애호박,설탕,0.9613122940063475
1053,1053,버터,대파,0.9612522721290588
351,351,물엿,참기름,0.9611945152282716
1262,1262,후추,홍고추,0.9611872434616088
352,352,물엿,다진마늘,0.9611679315567015
943,943,토마토,후춧가루,0.96110737323761
353,353,물엿,설탕,0.961055338382721
1263,1263,후추,후춧가루,0.9610108137130736
1054,1054,버터,후춧가루,0.9609309434890748
202,202,돼지고기,참기름,0.9608650207519532
540,540,배,설탕,0.9608237743377686
251,251,진간장,참기름,0.9607701897621156
203,203,돼지고기,다진마늘,0.9607223272323608
1264,1264,후추,무,0.9606838822364808
354,354,물엿,홍고추,0.960597813129425
912,912,생강,설탕,0.9605103135108948
990,990,양배추,소금,0.9603530168533324
944,944,토마토,참기름,0.9603321552276612
1251,1251,김,다진마늘,0.9601942896842957
204,204,돼지고기,다진파,0.9600441455841064
1451,1451,머스터드,소금,0.959831953048706
522,522,애호박,청고추,0.959690809249878
1452,1452,머스터드,설탕,0.9596168994903564
523,523,애호박,다진마늘,0.9595009088516236
1252,1252,김,물,0.9594934582710266
382,382,대추,다진마늘,0.9591877460479736
1253,1253,김,참기름,0.959072470664978
1453,1453,머스터드,청고추,0.9588899612426758
524,524,애호박,참기름,0.958868443965912
991,991,양배추,후춧가루,0.9587439894676208
383,383,대추,참기름,0.958660900592804
920,920,파프리카,소금,0.9586383700370787
1254,1254,김,설탕,0.9586161971092224
992,992,양배추,다진마늘,0.9583884477615356
252,252,진간장,설탕,0.958321213722229
913,913,생강,청고추,0.9582212567329408
914,914,생강,참기름,0.9581829905509948
384,384,대추,대파,0.957771897315979
541,541,배,소금,0.9577291011810304
253,253,진간장,다진마늘,0.9575260281562804
1110,1110,된장,소금,0.957273244857788
993,993,양배추,설탕,0.9569127559661864
1454,1454,머스터드,참기름,0.9567543864250184
542,542,배,고추장,0.9565840363502502
960,960,닭,소금,0.9565813541412354
70,70,쌀,홍고추,0.956139326095581
254,254,진간장,후춧가루,0.9561111330986024
921,921,파프리카,참기름,0.955676019191742
994,994,양배추,참기름,0.9554741382598876
450,450,청피망,소금,0.955461859703064
800,800,양송이버섯,소금,0.9554274678230286
1480,1480,시금치,소금,0.9552620649337769
961,961,닭,후춧가루,0.9550024271011353
600,600,상추,참기름,0.954908549785614
543,543,배,청고추,0.954847812652588
140,140,찹쌀,소금,0.9546271562576294
544,544,배,후춧가루,0.9546017646789552
71,71,쌀,소금,0.9545224905014038
962,962,닭,다진마늘,0.9545038342475892
922,922,파프리카,다진마늘,0.9544155597686768
300,300,파,소금,0.9541789293289183
72,72,쌀,다진마늘,0.9540997743606568
73,73,쌀,후춧가루,0.954088807106018
923,923,파프리카,홍고추,0.9539904594421388
963,963,닭,설탕,0.9539302587509156
924,924,파프리카,설탕,0.9536596536636353
964,964,닭,참기름,0.9536491632461548
601,601,상추,소금,0.9535984992980956
74,74,쌀,청고추,0.9533641338348388
870,870,꿀,설탕,0.9529803991317748
451,451,청피망,다진마늘,0.9529403448104858
1111,1111,된장,참기름,0.9528600573539734
801,801,양송이버섯,다진마늘,0.9528132677078248
141,141,찹쌀,다진마늘,0.9524692296981812
1112,1112,된장,후춧가루,0.952401638031006
602,602,상추,고춧가루,0.9523504972457886
1113,1113,된장,다진마늘,0.9522769451141356
1114,1114,된장,고춧가루,0.9522605538368224
452,452,청피망,새우,0.9521673917770386
1100,1100,굴,소금,0.9521574378013612
301,301,파,후춧가루,0.9521322250366212
802,802,양송이버섯,청고추,0.952049434185028
803,803,양송이버섯,참기름,0.9519991874694824
603,603,상추,다진마늘,0.9519197344779968
453,453,청피망,참기름,0.9518814086914062
1101,1101,굴,설탕,0.9517794847488404
804,804,양송이버섯,설탕,0.9517781734466552
630,630,녹말가루,소금,0.951683521270752
454,454,청피망,설탕,0.951595664024353
1102,1102,굴,다진마늘,0.951539158821106
1481,1481,시금치,참기름,0.9511611461639404
142,142,찹쌀,참기름,0.9510359168052672
871,871,꿀,소금,0.9509929418563844
143,143,찹쌀,청고추,0.9508988857269288
302,302,파,참기름,0.9507524967193604
303,303,파,설탕,0.9503417015075684
360,360,잣,소금,0.9503136277198792
304,304,파,식용유,0.9502528309822084
144,144,찹쌀,후춧가루,0.9501875042915344
1482,1482,시금치,다진마늘,0.9499722719192504
631,631,녹말가루,다진마늘,0.949854850769043
400,400,우유,소금,0.949835240840912
1103,1103,굴,후춧가루,0.9497366547584534
1483,1483,시금치,고춧가루,0.9497301578521729
0,0,국간장,참기름,0.949692964553833
1104,1104,굴,참기름,0.94952130317688
1,1,국간장,소금,0.9494410753250122
2,2,국간장,다진마늘,0.9494078159332277
604,604,상추,설탕,0.9492974877357484
3,3,국간장,설탕,0.9492651224136353
632,632,녹말가루,참기름,0.9489467144012452
872,872,꿀,참기름,0.9489454627037048
401,401,우유,참기름,0.9487728476524352
1300,1300,햄,소금,0.9487514495849608
361,361,잣,무,0.9487323760986328
1484,1484,시금치,청고추,0.948622703552246
402,402,우유,다진마늘,0.9486070871353148
1240,1240,낙지,대파,0.9485700726509094
403,403,우유,설탕,0.9485692381858826
362,362,잣,홍고추,0.9484252333641052
363,363,잣,다진마늘,0.947917640209198
1301,1301,햄,설탕,0.9478423595428468
4,4,국간장,청고추,0.947664201259613
404,404,우유,후춧가루,0.9476143717765808
210,210,부추,소금,0.947574496269226
1241,1241,낙지,소금,0.9473140239715576
873,873,꿀,홍고추,0.9471835494041444
874,874,꿀,다진마늘,0.947113871574402
1120,1120,배추,소금,0.9470712542533876
364,364,잣,청고추,0.9468163251876832
633,633,녹말가루,청고추,0.9467008709907532
634,634,녹말가루,홍고추,0.9465873837471008
1302,1302,햄,후춧가루,0.9461636543273926
211,211,부추,무,0.9458448886871338
212,212,부추,참기름,0.9456466436386108
1490,1490,무순,소금,0.9455185532569884
1491,1491,무순,청고추,0.9453823566436768
620,620,오징어,소금,0.9442238211631776
213,213,부추,홍고추,0.9441927075386048
1242,1242,낙지,다진마늘,0.9441684484481812
1243,1243,낙지,참기름,0.9440922141075134
214,214,부추,설탕,0.9439693093299866
1303,1303,햄,다진마늘,0.9439118504524232
1244,1244,낙지,청고추,0.9437098503112792
1304,1304,햄,참기름,0.9437083005905152
660,660,홍합,소금,0.9436283111572266
621,621,오징어,청고추,0.9428403973579408
1492,1492,무순,참기름,0.9423336982727052
1121,1121,배추,청고추,0.9419809579849244
1122,1122,배추,다진마늘,0.9415102601051332
100,100,숙주,청고추,0.9411889314651488
661,661,홍합,후춧가루,0.9409751296043396
101,101,숙주,소금,0.9408241510391236
1123,1123,배추,후춧가루,0.940804958343506
622,622,오징어,후춧가루,0.9405089020729064
1124,1124,배추,참기름,0.940489649772644
1150,1150,바지락,소금,0.9404746890068054
662,662,홍합,다진마늘,0.940404772758484
580,580,찹쌀가루,소금,0.9403738975524902
1493,1493,무순,다진마늘,0.940107762813568
581,581,찹쌀가루,설탕,0.9400387406349182
170,170,멥쌀,소금,0.9399724006652832
582,582,찹쌀가루,다진마늘,0.9399127960205078
1151,1151,바지락,참기름,0.9397428631782532
623,623,오징어,고춧가루,0.9397179484367372
1460,1460,마요네즈,설탕,0.9395768642425536
1494,1494,무순,물,0.9394357204437256
583,583,찹쌀가루,홍고추,0.9393436312675476
624,624,오징어,다진마늘,0.9392325282096864
1461,1461,마요네즈,소금,0.9392040967941284
663,663,홍합,당근,0.9391796588897704
664,664,홍합,청고추,0.9391270279884338
171,171,멥쌀,후춧가루,0.939076602458954
1152,1152,바지락,후춧가루,0.9388011693954468
102,102,숙주,설탕,0.9387459754943848
103,103,숙주,양파,0.9385647773742676
1153,1153,바지락,홍고추,0.9383856654167176
1440,1440,양상추,소금,0.9381678700447084
584,584,찹쌀가루,참기름,0.9378198385238647
172,172,멥쌀,대파,0.9376298189163208
1154,1154,바지락,설탕,0.9374250173568726
104,104,숙주,다진마늘,0.9371997714042664
173,173,멥쌀,다진마늘,0.9371157884597778
1462,1462,마요네즈,참기름,0.93707674741745
174,174,멥쌀,참기름,0.93692946434021
1463,1463,마요네즈,청고추,0.9366986155509948
1441,1441,양상추,참기름,0.9363611340522766
1464,1464,마요네즈,물,0.9358533024787904
670,670,죽순,소금,0.9347217082977296
671,671,죽순,참기름,0.934179425239563
1442,1442,양상추,다진마늘,0.9337410926818848
672,672,죽순,후춧가루,0.932690978050232
1443,1443,양상추,설탕,0.9326573014259338
110,110,콩나물,소금,0.9324984550476074
830,830,화이트와인,후춧가루,0.932000458240509
1444,1444,양상추,청고추,0.9319804906845092
111,111,콩나물,표고버섯,0.9318559169769288
831,831,화이트와인,다진마늘,0.9318366050720216
673,673,죽순,설탕,0.9316611886024476
20,20,도라지,소금,0.931376338005066
674,674,죽순,새우,0.9309917688369752
1360,1360,미림,소금,0.9308019876480104
832,832,화이트와인,설탕,0.9304903149604796
112,112,콩나물,후춧가루,0.9301307201385498
113,113,콩나물,설탕,0.9297982454299928
21,21,도라지,다진마늘,0.929617702960968
114,114,콩나물,홍고추,0.9295488595962524
22,22,도라지,설탕,0.9292853474617004
23,23,도라지,대파,0.929214358329773
24,24,도라지,청고추,0.9291577339172364
833,833,화이트와인,홍고추,0.9291367530822754
1361,1361,미림,설탕,0.9288830757141112
590,590,겨자,다진마늘,0.928800880908966
591,591,겨자,소금,0.9284307956695556
834,834,화이트와인,소금,0.9283938407897948
592,592,겨자,물,0.9280941486358644
1410,1410,생크림,소금,0.9263283610343932
1411,1411,생크림,다진마늘,0.926083207130432
1370,1370,고등어,다진마늘,0.9260666966438292
1362,1362,미림,다진파,0.9259429574012756
720,720,모시조개,소금,0.925909161567688
1412,1412,생크림,청고추,0.925559937953949
1363,1363,미림,오이,0.9255501627922058
593,593,겨자,참기름,0.9255229234695436
1371,1371,고등어,후춧가루,0.9253952503204346
594,594,겨자,설탕,0.9253252744674684
1372,1372,고등어,소금,0.92532479763031
1364,1364,미림,참기름,0.925157070159912
1413,1413,생크림,참기름,0.925147831439972
1160,1160,가래떡,다진마늘,0.9251338243484496
1373,1373,고등어,설탕,0.925110638141632
1161,1161,가래떡,설탕,0.924868106842041
1374,1374,고등어,대파,0.9247235655784608
721,721,모시조개,설탕,0.9245272278785706
490,490,홍피망,다진마늘,0.9244669675827026
1414,1414,생크림,후춧가루,0.9242424964904784
722,722,모시조개,참기름,0.9234739542007446
1162,1162,가래떡,소금,0.9232213497161864
723,723,모시조개,대파,0.9228339195251464
1163,1163,가래떡,홍고추,0.9213495254516602
491,491,홍피망,소금,0.9212859869003296
1164,1164,가래떡,후춧가루,0.9212538003921508
724,724,모시조개,새우,0.9211029410362244
820,820,바질,소금,0.9205402135849
492,492,홍피망,고춧가루,0.9204596281051636
493,493,홍피망,대파,0.918368935585022
494,494,홍피망,설탕,0.9183135032653807
1080,1080,갓,물,0.9179559350013732
1081,1081,갓,소금,0.9175307750701904
821,821,바질,후춧가루,0.9171302318572998
1082,1082,갓,후춧가루,0.9164307713508606
822,822,바질,설탕,0.916172742843628
823,823,바질,홍고추,0.9156320095062256
824,824,바질,다진마늘,0.9153060913085938
1083,1083,갓,다진마늘,0.9149819612503052
1084,1084,갓,참기름,0.9148634076118468
740,740,다진쇠고기,소금,0.913416862487793
1330,1330,다시물,소금,0.9117438793182372
741,741,다진쇠고기,후춧가루,0.9110944271087646
770,770,방울토마토,소금,0.9105127453804016
840,840,계란노른자,다진마늘,0.9101166725158693
742,742,다진쇠고기,설탕,0.9096970558166504
771,771,방울토마토,설탕,0.9096120595932008
772,772,방울토마토,다진마늘,0.9090845584869384
743,743,다진쇠고기,참기름,0.908266544342041
773,773,방울토마토,홍고추,0.9075654745101928
774,774,방울토마토,고춧가루,0.9075215458869934
841,841,계란노른자,소금,0.9074640274047852
1331,1331,다시물,양파,0.9074248671531676
842,842,계란노른자,후춧가루,0.9071950316429138
1332,1332,다시물,설탕,0.9070041179656982
1333,1333,다시물,청고추,0.9068589210510254
1190,1190,게맛살,참기름,0.906704306602478
1334,1334,다시물,다진마늘,0.9065479040145874
744,744,다진쇠고기,다진마늘,0.906139075756073
1191,1191,게맛살,설탕,0.9057952761650084
843,843,계란노른자,물,0.905722677707672
1192,1192,게맛살,소금,0.9053838849067688
844,844,계란노른자,식용유,0.9048869609832764
1193,1193,게맛살,새우,0.904713213443756
180,180,통후추,고춧가루,0.9042320251464844
160,160,팥,소금,0.9034082889556884
1194,1194,게맛살,물,0.9031744003295898
161,161,팥,다진마늘,0.9021998643875122
162,162,팥,설탕,0.901828408241272
163,163,팥,대파,0.9017797708511353
164,164,팥,참기름,0.9015599489212036
181,181,통후추,소금,0.9010629653930664
182,182,통후추,설탕,0.8990099430084229
420,420,완두콩,참기름,0.8989653587341309
421,421,완두콩,소금,0.898658037185669
183,183,통후추,청고추,0.8985611200332642
1310,1310,치커리,설탕,0.8984800577163696
1400,1400,베이컨,물,0.8984662294387817
422,422,완두콩,다진마늘,0.8983331918716431
1401,1401,베이컨,소금,0.897588849067688
184,184,통후추,양파,0.8973853588104248
1520,1520,정종,참기름,0.8972489237785339
1521,1521,정종,느타리버섯,0.8972082734107971
423,423,완두콩,설탕,0.8969390392303467
1402,1402,베이컨,홍고추,0.8966145515441895
1403,1403,베이컨,대파,0.8962619304656982
1404,1404,베이컨,참기름,0.8961527943611145
1522,1522,정종,청고추,0.8957675695419312
424,424,완두콩,무,0.895561933517456
1523,1523,정종,표고버섯,0.8954071998596191
1524,1524,정종,후춧가루,0.8952731490135193
1311,1311,치커리,소금,0.8940795660018921
1312,1312,치커리,다진마늘,0.891494870185852
1313,1313,치커리,홍고추,0.8903714418411255
1314,1314,치커리,청고추,0.889801561832428
980,980,파슬리가루,설탕,0.8896740674972534
1140,1140,배추김치,양파,0.8893587589263916
981,981,파슬리가루,소금,0.8892346620559692
982,982,파슬리가루,다진마늘,0.8890396356582642
1090,1090,새우젓,다진마늘,0.8882226943969727
1141,1141,배추김치,소금,0.8878396153450012
983,983,파슬리가루,후춧가루,0.8877303600311279
1142,1142,배추김치,표고버섯,0.8874937295913696
984,984,파슬리가루,표고버섯,0.8874311447143555
1143,1143,배추김치,당근,0.8865485787391663
1144,1144,배추김치,청고추,0.8865108489990234
1600,1600,새송이버섯,참기름,0.8863399028778076
1601,1601,새송이버섯,소금,0.8855298757553101
1602,1602,새송이버섯,다진마늘,0.8852503895759583
1603,1603,새송이버섯,대파,0.884958028793335
1604,1604,새송이버섯,표고버섯,0.884672999382019
930,930,실고추,소금,0.8838578462600708
1091,1091,새우젓,소금,0.8835955262184143
1092,1092,새우젓,대파,0.8833819031715393
1093,1093,새우젓,오이,0.8831425905227661
1094,1094,새우젓,참기름,0.8827342987060547
931,931,실고추,후춧가루,0.8811366558074951
932,932,실고추,당근,0.8803091049194336
1540,1540,국멸치,밥,0.8782171607017517
933,933,실고추,다진파,0.8779703974723816
934,934,실고추,식용유,0.8779119849205017
1541,1541,국멸치,대파,0.8771686553955078
1542,1542,국멸치,소금,0.8768182396888733
1543,1543,국멸치,참기름,0.8761426210403442
1544,1544,국멸치,설탕,0.875145673751831
790,790,레몬즙,미나리,0.8621276617050171
791,791,레몬즙,고춧가루,0.8606631755828857
792,792,레몬즙,소금,0.8606361746788025
793,793,레몬즙,다진마늘,0.8593748807907104
794,794,레몬즙,참기름,0.8586878180503845
1430,1430,닭고기,청고추,0.8572419285774231
1431,1431,닭고기,소금,0.8552514314651489
1432,1432,닭고기,참기름,0.8546064496040344
1070,1070,은행,설탕,0.8544127941131592
1060,1060,빵가루,참기름,0.8539156913757324
1061,1061,빵가루,소금,0.8537503480911255
1433,1433,닭고기,식초,0.8537313342094421
1071,1071,은행,양파,0.8533434867858887
1434,1434,닭고기,설탕,0.8532241582870483
1062,1062,빵가루,식용유,0.852940022945404
1072,1072,은행,후춧가루,0.8522800207138062
1063,1063,빵가루,다진파,0.8522478938102722
1073,1073,은행,소금,0.851314902305603
1074,1074,은행,다진마늘,0.8507953882217407
130,130,고사리,무,0.849640965461731
1550,1550,풋고추,홍고추,0.8493692874908447
1551,1551,풋고추,소금,0.8487560749053955
131,131,고사리,소금,0.848469078540802
132,132,고사리,계란,0.8484682440757751
1064,1064,빵가루,고추장,0.8477637767791748
133,133,고사리,다진파,0.8471393585205078
190,190,당면,설탕,0.8470550775527954
134,134,고사리,후춧가루,0.8468248844146729
1552,1552,풋고추,다진마늘,0.8456543684005737
1340,1340,와사비,참기름,0.8448518514633179
1553,1553,풋고추,무,0.844387948513031
1554,1554,풋고추,설탕,0.8442075848579407
191,191,당면,홍고추,0.8420065641403198
1130,1130,파슬리,홍고추,0.8416834473609924
192,192,당면,참기름,0.8414299488067627
1131,1131,파슬리,대파,0.8408864736557007
1420,1420,스파게티,참기름,0.8404925465583801
1421,1421,스파게티,느타리버섯,0.8403127789497375
1132,1132,파슬리,식용유,0.8397976160049438
1341,1341,와사비,청고추,0.8395618200302124
193,193,당면,소금,0.8393760919570923
1422,1422,스파게티,홍고추,0.8386933207511902
1342,1342,와사비,소금,0.8386753797531128
1343,1343,와사비,다진마늘,0.8386651873588562
194,194,당면,청주,0.8378965258598328
1133,1133,파슬리,표고버섯,0.8376350402832031
1134,1134,파슬리,소금,0.8374212980270386
1423,1423,스파게티,설탕,0.837289571762085
950,950,다진양파,소금,0.8371935486793518
951,951,다진양파,다진파,0.8363007307052612
1280,1280,참치,대파,0.8362941741943359
1424,1424,스파게티,소금,0.8361873030662537
1344,1344,와사비,청주,0.8359889984130859
1560,1560,레몬,설탕,0.8350236415863037
952,952,다진양파,참기름,0.8337877988815308
1561,1561,레몬,소금,0.8337529897689819
1562,1562,레몬,참기름,0.8335371017456055
953,953,다진양파,대파,0.8332020044326782
1563,1563,레몬,새우,0.8327994346618652
954,954,다진양파,미나리,0.8321080207824707
1281,1281,참치,홍고추,0.8317553997039795
1282,1282,참치,소금,0.8314031362533569
1564,1564,레몬,무,0.8310638666152954
